commune_code;commune;population_2020;departement_code;departement;region_code;region
57504;Niderhoff;281;57;Moselle;44;Grand Est
57505;Niderviller;1222;57;Moselle;44;Grand Est
57506;Niederstinzel;260;57;Moselle;44;Grand Est
57507;Niedervisse;259;57;Moselle;44;Grand Est
57508;Nilvange;4758;57;Moselle;44;Grand Est
57509;Nitting;461;57;Moselle;44;Grand Est
57510;Noisseville;1019;57;Moselle;44;Grand Est
57511;Norroy-le-Veneur;1018;57;Moselle;44;Grand Est
57512;Nouilly;705;57;Moselle;44;Grand Est
57513;Nousseviller-lès-Bitche;136;57;Moselle;44;Grand Est
57514;Nousseviller-Saint-Nabor;1191;57;Moselle;44;Grand Est
57515;Novéant-sur-Moselle;1823;57;Moselle;44;Grand Est
57516;Oberdorff;347;57;Moselle;44;Grand Est
57517;Obergailbach;317;57;Moselle;44;Grand Est
57518;Oberstinzel;348;57;Moselle;44;Grand Est
57519;Obervisse;159;57;Moselle;44;Grand Est
57520;Obreck;38;57;Moselle;44;Grand Est
57521;Œting;2650;57;Moselle;44;Grand Est
57524;Ommeray;122;57;Moselle;44;Grand Est
57525;Oriocourt;58;57;Moselle;44;Grand Est
57526;Ormersviller;395;57;Moselle;44;Grand Est
57527;Orny;365;57;Moselle;44;Grand Est
57528;Oron;90;57;Moselle;44;Grand Est
57529;Ottange;2984;57;Moselle;44;Grand Est
57530;Ottonville;437;57;Moselle;44;Grand Est
57531;Oudrenne;736;57;Moselle;44;Grand Est
57532;Pagny-lès-Goin;242;57;Moselle;44;Grand Est
57533;Pange;877;57;Moselle;44;Grand Est
57534;Peltre;1861;57;Moselle;44;Grand Est
57535;Petit-Réderching;1512;57;Moselle;44;Grand Est
